lsoa_code,borough,major_category,minor_category,value,year,month
E01003916,Southwark,Violence Against the Person,Wounding/GBH,0,2013,8
E01001839,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,12
E01000642,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,10
E01004080,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01001151,Croydon,Violence Against the Person,Wounding/GBH,0,2008,4
E01003337,Lewisham,Violence Against the Person,Assault with Injury,4,2008,9
E01000578,Brent,Violence Against the Person,Harassment,0,2016,8
E01003283,Lewisham,Fraud or Forgery,Counted per Victim,0,2009,5
E01002098,Haringey,Fraud or Forgery,Other Fraud & Forgery,0,2013,6
E01004136,Sutton,Theft and Handling,Other Theft Person,0,2010,9
E01002526,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,6
E01002156,Harrow,Drugs,Possession Of Drugs,0,2012,7
E01004670,Westminster,Drugs,Drug Trafficking,0,2009,11
E01001311,Ealing,Theft and Handling,Theft From Shops,0,2010,6
E01000965,Camden,Theft and Handling,Handling Stolen Goods,0,2009,6
E01000894,Camden,Theft and Handling,Handling Stolen Goods,0,2012,4
E01003824,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,5
E01000916,Camden,Criminal Damage,Other Criminal Damage,1,2016,11
E01004528,Wandsworth,Drugs,Other Drugs,0,2014,1
